,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Target
2015-01-01,100.0,100.0,100.0,100.0,100.0,0
2015-01-02,100.11706107879999,100.12883182121766,100.1171798379946,100.1009049336369,100.13381020963885,0
2015-01-05,100.3515425870965,100.40120196535231,100.36594515140055,100.30759449027413,100.39576387828623,0
2015-01-06,100.66798131101955,100.7335185139063,100.69475676604063,100.57142086681222,100.76455759437239,0
2015-01-07,101.06715541861479,101.17989764163869,101.1195009159651,100.95054395257151,101.23881736684606,1
2015-01-08,101.62497162897874,101.78676081440967,101.67038831145064,101.45384584890058,101.8386852021752,1
2015-01-09,102.21411415135474,102.44128972845583,102.27919797004712,102.01318099064682,102.49845907183439,1
2015-01-12,102.84195983825315,103.09242065529662,102.92262367876374,102.60907041573464,103.20076034967569,1
2015-01-13,103.48101520832631,103.73904447382706,103.58718628382684,103.22268710886833,103.91608110112341,1
2015-01-14,104.16282200181446,104.4451884248362,104.28511999994579,103.84704789856352,104.64023953309433,0
2015-01-15,104.80460616401355,105.13303409160373,104.94934990055371,104.4672816960377,105.3341620711633,0
2015-01-16,105.45980955318956,105.82032550602598,105.61173976309044,105.0886684892786,106.01620774478624,0
2015-01-19,106.1664920220816,106.55761172640325,106.28584504692856,105.74941175090842,106.69348628076332,0
2015-01-20,108.95499180935808,107.24048158377444,106.951764360994,106.39593402671585,107.35597681864293,0
2015-01-21,109.63919685769153,107.93286855832362,107.62610747402232,107.20436662700547,108.01672963571363,0
2015-01-22,110.3477305318058,108.66700874899824,108.31372441998377,107.88301575698516,108.69140507295603,0
2015-01-23,111.07670242838377,109.40986703346726,109.02280567860558,108.58748692814845,109.38882076666656,0
2015-01-26,111.86945253204992,110.24055673624773,109.79622105907598,109.34622134789001,110.12729765043525,0
2015-01-27,112.67293811698534,111.05894706329642,110.57884697205758,110.14069422542548,110.91169669509529,0
2015-01-28,113.50707793297448,111.9041206085188,111.40238323422855,110.93903510299327,111.74546627207648,0
2015-01-29,114.40130962346922,112.83229847105393,112.2859343815815,111.79688992294656,112.6586712828307,0
2015-01-30,115.33863208693833,113.80715873609736,113.22062981635341,112.69357043388759,113.6392566511661,0
2015-02-02,116.32448261275744,114.82560821365465,114.21354133519397,113.6494739353652,114.68618278847057,0
2015-02-03,117.34944164893606,115.89348726554228,115.25188425455607,114.64037496883775,115.79351833575456,0
2015-02-04,118.38772887387799,116.97524657393402,116.30684231206314,115.6469380514371,116.94166383063343,0
2015-02-05,119.4614909063757,118.0922999290349,117.39197059063049,116.7517690056275,118.1196086640508,0
2015-02-06,120.50971383481748,119.19566184049337,118.46059270780876,117.77713814931118,119.29305012059257,0
2015-02-09,121.52921509990273,120.25748438222863,119.49398664984592,118.7528635173968,120.43044736702784,0
2015-02-10,122.51303421573796,121.2841609474195,120.48928289257499,119.71141213536131,121.52767217978575,0
2015-02-11,123.507633740094,122.30480286222067,121.43626552038268,120.67243459482637,122.56385972828264,0
2015-02-12,124.37998309795601,123.20959150698958,122.29074110135775,121.55286356021382,123.50842109347468,0
2015-02-13,125.16447626767584,124.01099364423207,123.05406034880812,122.34693453769559,124.34579259592118,0
2015-02-16,125.86326059762634,124.71896366902999,123.73739951967411,123.07933323869662,125.07394463866328,0
2015-02-17,126.4749178647258,125.3235096657954,124.30987336537112,123.74017477186896,125.69247221867839,0
2015-02-18,127.01235725093542,125.84618457392658,124.8095791100108,124.33332583289487,126.21275382860517,0
2015-02-19,127.48275698825677,126.29421529617339,125.22729698961643,124.86295973153787,126.65040629816504,0
2015-02-20,127.89330417921938,126.6769889016769,125.59287797863396,125.34520411645566,127.01376714728052,0
2015-02-23,128.2695376622622,127.0082168730477,125.90301426549067,125.80307739842014,127.34074143377774,0
2015-02-24,128.62646929957793,127.32292647013406,126.19390192631307,126.23755089372375,127.64883052581834,0
2015-02-25,128.9860640825975,127.6456600112063,126.48927617957604,126.68458233470264,127.97033428223568,0
2015-02-26,129.3638953423978,127.99869011497414,126.80593388364014,127.15083876586294,128.32150653233947,0
2015-02-27,129.74954651025212,128.36162122050538,127.14021047605301,127.61545420860696,128.7101213079102,0
2015-03-02,130.1678338205123,128.74804807774564,127.49303372716851,127.94427686657393,129.13598705386988,0
2015-03-03,130.6323367272761,129.202122976361,127.92348261020486,128.49807578104173,129.64931760736104,0
2015-03-04,131.12631953976165,129.68969422005566,128.388013694815,129.0785612150161,130.22109543331834,0
2015-03-05,131.66576664946575,130.2353166557053,128.89693000155026,121.33373775454976,130.85278810711515,0
2015-03-06,132.22680783732656,130.79345403864892,129.43328628575478,121.90882881408112,131.5043847375094,0
2015-03-09,132.80890414980598,131.37969626596907,129.99408758468869,122.52294030164781,132.1978957246333,0
2015-03-10,133.39923531990533,131.97113510076898,130.55154464719826,123.13776729365064,132.9018964676705,0
2015-03-11,134.0016337631564,132.57795829379052,131.128551313041,123.78656961016257,133.60651196154123,0
2015-03-12,134.57983957448386,133.14241607023217,131.67780994477366,124.41418477924225,134.28028596354622,0
2015-03-13,135.15504830724186,133.70524992929884,132.21741400823163,125.03020089789815,134.92605959789918,0
2015-03-16,135.72391699831294,134.26585046907235,132.7267506921165,125.64047752273942,135.53938315473272,0
2015-03-17,136.27165878428346,134.79151286827383,133.21044773554596,126.23708443336594,136.11216107337304,0
2015-03-18,136.82535526249444,135.31414199549877,133.6879824008846,126.84938324513868,136.66168091391216,0
2015-03-19,137.3746781087068,135.83018424634992,134.17401374965561,127.45510076948128,137.1904010978681,0
2015-03-20,137.94079934426932,136.36127798116485,134.66873307951994,128.0874857505656,137.72880457150126,0
2015-03-23,138.54141090555999,136.92807962822016,135.19379784541226,128.74959718027046,138.2976210784084,0
2015-03-24,139.19679666916494,137.56431212011634,135.7738841841687,129.45149906010855,138.92111857994516,1
2015-03-25,139.99593791840067,138.35164827356368,136.51128717309933,130.28492337116998,139.67807661327743,1
2015-03-26,140.87453686084766,139.21988072461156,137.3156342757472,131.17689006588608,140.55101604775078,1
2015-03-27,141.87265379106034,140.19819109750412,138.26128206687082,132.1941198500735,141.5541312948492,1
2015-03-30,142.99951892182648,141.349367781929,139.33049933887511,133.29226628972052,142.7136060058418,0
2015-03-31,144.18795387827186,142.5400427302067,140.47428084229907,134.47031301161147,143.98443327125236,0
2015-04-01,145.50682984548294,143.8907406155429,141.75637170533702,135.73625060689358,145.41597639710443,0
2015-04-02,147.00186104677516,145.43460381564026,143.19380531388973,137.14801915491603,147.0223777119772,0
2015-04-03,149.20351875611237,147.0719545664753,144.76846956627097,138.70384142333276,148.77361284651693,0
2015-04-06,150.8955638069441,148.82123651255446,146.43956970575326,140.29219575504342,150.64879536106906,0
2015-04-07,152.69834956853404,150.6719426729362,148.1926360556854,141.96144197100517,152.63443549267993,0
